,lat,lon,alt
0,-51.79469105364737,-39.62441770020837,552.8582719902824
1,-52.8048469685265,-49.32713783135313,552.3993761930506
2,-52.92400391430173,-59.2961108557179,551.9428746109797
3,-52.14324045148462,-69.10975499073564,551.4944602341893
4,-50.51657497565637,-78.3886742773987,551.0580102913918
5,-48.14426963124691,-86.8836218456238,550.6356070053162
6,-45.14724238355506,-94.49599452484188,550.227661401007
7,-41.645215361804624,-101.24455415430037,549.8331263686996
8,-37.744241105968065,-107.21586469117017,549.4497916618702
9,-33.53247769689931,-112.52400215871023,549.0746388720409
10,-29.080860140653176,-117.28611121072737,548.7042416444347
11,-24.445785122633104,-121.61079701224281,548.3351841492704
12,-19.672251154228892,-125.59428673412742,547.9644795499844
13,-14.796702037747073,-129.3206247972206,547.5899605763052
14,-9.849435133183322,-132.86358978061497,547.2106250834386
15,-4.856535647155522,-136.28925048365505,546.8269121934027
16,0.1585001964625283,-139.65861122182105,546.4408975355354
17,5.17339813784063,-143.0302362195094,546.0563905368845
18,10.165814374358396,-146.46279844497712,545.678931303536
19,15.112069121859946,-150.0176566004135,545.3156801402547
20,19.985741574006582,-153.76147633735064,544.9752068077669
21,24.75602923698775,-157.76889826716348,544.667186296766
22,29.385771502930762,-162.12509202422018,544.4020132569385
23,33.82899016143123,-166.92762020437453,544.1903558795311
24,38.02799209801438,-172.2864563400521,544.0426665316336
25,41.9101982147867,-178.31972048552228,543.9686758256612
26,45.38550860159042,174.8587679055239,543.9768921255463
27,48.345865982017045,167.16527468162246,544.0741329218154
28,50.67002408434309,158.5879524427947,544.2651106441126
29,52.23688467591107,149.23685720021194,544.5520938003665
30,52.94819009146891,139.3747567527056,544.9346624020764
31,52.75420626972575,129.3909539557548,545.409568567984
32,51.66929426203237,119.70805230661341,545.9707144266222
33,49.7672734154254,110.6686766496606,546.6092454988566
34,47.159714329561986,102.46875836646348,547.3137631714872
35,43.970206711643016,95.15996636288605,548.0706413035205
36,40.31542703131198,88.69339675199814,548.8644422257994
37,36.295874249215125,82.96816678486243,549.678405978646
38,31.993784185951533,77.86637988880864,550.4950015713966
39,27.474827931065498,73.27256244183332,551.2965068469039
40,22.791117453564624,69.08197463464307,552.0656023912443
41,17.984329306733528,65.20265511993242,552.7859439920212
42,13.088411580183225,61.55438762671395,553.4426994532623
43,8.131839971259508,58.06645678374801,554.0230176665691
44,3.1394244315555087,54.675005162659716,554.5164196462465
45,-1.8661585869427093,51.320394241710204,554.9150876251197
46,-6.863050450506476,47.94461007291653,555.2140483868197
47,-11.828946319411433,44.48872636029279,555.4112391441149
48,-16.739791257664024,40.89034684354522,555.507458003417
49,-21.56834301623485,37.08096929251934,555.5062030828585
50,-26.28243416246933,32.98336047478804,555.4134082156042
51,-30.842879199753387,28.509152446459154,555.2370900434325
52,-35.20088348158125,23.55740913160497,554.9869239930422
53,-39.29505170074838,18.015601598539376,554.6737685645594
54,-43.048281160929854,11.765856319319312,554.3091626805763
55,-46.365582143113805,4.700792204534622,553.9048165648546
56,-49.134835241368776,-3.2461070964562566,553.4721235404813
57,-51.23375339397174,-12.055073814114166,553.0217104820822
58,-52.54601875931581,-21.57251576748729,552.5630521086905
59,-52.985675376648196,-31.493857836035914,552.1041606319905
60,-52.521059066304026,-41.41062574177505,551.6513695179747
61,-51.18488780111995,-50.91565774534914,551.2092140839222
62,-49.06379576764808,-59.70746863321705,550.7804183969292
63,-46.27427001365354,-67.6358242243445,550.3659812325423
64,-42.9383969603666,-74.68342409940865,549.9653602770686
65,-39.167916618595356,-80.91817574323113,549.5767378710252
66,-35.057443196273155,-86.44799031911651,549.197358258556
67,-30.683767899531045,-91.39081208392633,548.82391234428
68,-26.10809208432051,-95.85901337075018,548.4529536294858
69,-21.379104565896125,-99.95334195762746,548.081317551837
70,-16.535990295120673,-103.76199638582682,547.7065258418215
71,-11.610977946950387,-107.36212715451262,547.3271486374642
72,-6.631453227858018,-110.82223048427397,546.9431086259347
73,-1.621660641011632,-114.20480796760432,546.5559049404919
74,3.3958416020354165,-117.5689959421137,546.1687468797863
75,8.398874903319987,-120.97313547714487,545.7865868141153
76,13.364388453184379,-124.47734012919307,545.4160466593949
77,18.26709939949498,-128.1460844699044,545.0652430739801
78,23.077971330153357,-132.0508822024786,544.7435133096624
79,27.7623476099899,-136.27289893130109,544.4610580728222
80,32.27769170778657,-140.90517482817643,544.228513152615
81,36.570817249487135,-146.05347745458226,544.0564737540963
82,40.57478159311674,-151.83394476103337,543.9549906794364
83,44.205906711348135,-158.3640711272143,543.9330655579079
84,47.36230437175544,-165.74223993196745,543.998167787533
85,49.92637911747422,-174.0114493235959,544.1557983977791
86,51.77481949983997,176.88978475105068,544.409122664676
87,52.7982445184345,167.16942728619262,544.7586895607737
88,52.92710037257079,157.17953392578204,545.2022550842885
89,52.152418110947515,147.3443930608729,545.7347164451421
90,50.528763294699615,138.04615002778155,546.348166585758
91,48.15736272362016,129.53582699233812,547.0320628942245
92,45.16020251746564,121.91249430492701,547.7735109300993
93,41.657955322170814,115.15700344345817,548.5576442520451
94,37.75738715884667,109.18202763740902,549.3680932529305
95,33.54715248300388,103.87275035691607,550.187513972207
96,29.098479810267495,99.11141823292274,550.9981642202101
97,24.467927837451015,94.78901706655859,551.7824922997252
98,19.70053327312333,90.80905786394248,552.5237234892711
99,14.832709256221053,87.0873829743831,553.2064092765622
100,9.894641163503822,83.5501974703551,553.8169258420394
101,4.912251304406098,80.13151693931366,554.3438934511714
102,-0.09118379551546028,76.77050800402151,554.778503395004
